epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.612707,1.79411,3.01719,2.15073,0.00896,1,0.51061,0.18169,1.67491,2.77061,2.24645,1.667e-05,1.667e-05,1.667e-05
2,0.733747,1.90535,2.97401,2.18158,0.00871,1,0.44017,0.17213,1.65626,2.77584,2.2723,4.83597e-05,4.83597e-05,4.83597e-05
3,0.854263,1.92248,3.01375,2.12719,0.00846,1,0.48814,0.1927,1.65661,2.78109,2.26274,7.78489e-05,7.78489e-05,7.78489e-05
4,0.983188,1.63062,2.94853,1.98096,0.0083,1,0.59857,0.17463,1.35562,2.74443,1.94322,0.000105138,0.000105138,0.000105138
5,1.11966,1.5157,2.82846,1.80331,0.00828,1,0.7295,0.38782,1.25982,2.7127,1.69578,0.000130226,0.000130226,0.000130226
6,1.26175,1.33473,2.63432,1.64436,0.00795,1,0.80729,0.5007,1.22819,2.68701,1.63706,0.000153114,0.000153114,0.000153114
7,1.40143,1.1567,2.3975,1.53601,0.0079,1,0.81401,0.51713,1.18676,2.64207,1.55539,0.000173801,0.000173801,0.000173801
8,1.54337,1.05058,2.17566,1.38337,0.00781,1,0.79436,0.47219,1.25613,2.59113,1.54661,0.000192288,0.000192288,0.000192288
9,1.67685,1.15161,1.9605,1.46539,0.00762,1,0.7704,0.45019,1.13975,2.54679,1.49734,0.000208575,0.000208575,0.000208575
10,1.80863,1.15853,1.7678,1.39891,0.0076,1,0.925,0.53792,1.1572,2.44737,1.47713,0.000222661,0.000222661,0.000222661
11,1.94771,1.05788,1.68987,1.4225,0.00741,1,0.955,0.63156,1.10123,2.33629,1.45682,0.000234547,0.000234547,0.000234547
12,2.08639,1.03646,1.4667,1.37291,0.00714,1,0.995,0.63164,1.02101,2.24712,1.42083,0.000244232,0.000244232,0.000244232
13,2.22149,1.06969,1.36702,1.39597,0.00683,1,0.995,0.65915,1.04535,2.15994,1.46905,0.000251717,0.000251717,0.000251717
14,2.35837,0.89075,1.3158,1.23421,0.00668,1,0.995,0.67884,1.05891,2.10759,1.52373,0.000257001,0.000257001,0.000257001
15,2.49574,0.98756,1.28352,1.2579,0.0112,1,0.995,0.67026,1.07413,2.07532,1.56633,0.000260085,0.000260085,0.000260085
16,2.62713,0.92811,1.233,1.32152,0.93565,1,0.995,0.68256,1.07774,1.98548,1.60783,0.000260969,0.000260969,0.000260969
17,2.76034,0.89033,1.01233,1.22813,1,0.91833,0.995,0.68277,1.09384,1.86779,1.6591,0.000259652,0.000259652,0.000259652
18,2.89749,0.94218,1.13166,1.32538,1,0.84634,0.995,0.68175,1.14775,1.81106,1.70187,0.000256135,0.000256135,0.000256135
19,3.02655,0.95207,1.13709,1.27093,1,0.86361,0.995,0.68478,1.16495,1.78641,1.67801,0.000250417,0.000250417,0.000250417
20,3.16289,0.89466,1.02625,1.22544,1,0.89555,0.995,0.69226,1.14031,1.80579,1.62053,0.000242498,0.000242498,0.000242498
21,3.67815,0.80707,1.377,1.18473,1,0.85007,0.995,0.6878,1.12709,1.80194,1.59643,0.00023238,0.00023238,0.00023238
22,3.84297,0.85502,1.36787,1.29917,1,0.94775,0.995,0.66605,1.17027,1.7641,1.6142,0.000220061,0.000220061,0.000220061
23,3.98089,0.93223,1.38953,1.46977,0.97156,0.98263,0.995,0.64438,1.24059,1.68503,1.58286,0.000205541,0.000205541,0.000205541
24,4.11146,0.80404,1.20001,1.27516,0.96644,0.94627,0.995,0.59982,1.32444,1.64016,1.58864,0.000188821,0.000188821,0.000188821
25,4.24024,0.98643,1.42663,1.31899,0.9609,0.95366,0.995,0.61557,1.33173,1.63596,1.59407,0.000169901,0.000169901,0.000169901
26,4.37415,0.75844,1.11823,1.24026,0.95355,0.95325,0.995,0.61542,1.3015,1.60954,1.59788,0.00014878,0.00014878,0.00014878
27,4.50365,0.79859,1.23609,1.2279,0.94534,0.95953,0.995,0.66641,1.28792,1.53605,1.61623,0.000125458,0.000125458,0.000125458
28,4.62689,0.74545,1.15093,1.20369,0.94534,0.95953,0.995,0.66641,1.28792,1.53605,1.61623,9.99366e-05,9.99366e-05,9.99366e-05
29,4.75758,0.72605,1.14066,1.20004,0.94152,0.97391,0.995,0.69737,1.24224,1.41787,1.59346,7.22144e-05,7.22144e-05,7.22144e-05
30,4.90057,0.76372,1.29129,1.19004,0.94171,0.98508,0.995,0.71605,1.19153,1.31234,1.55058,4.22918e-05,4.22918e-05,4.22918e-05
